iter	Logloss
0	0.5999215704
1	0.5083767686
2	0.4256384186
3	0.3559028161
4	0.2996718722
5	0.2576033054
6	0.2194339744
7	0.1905124434
8	0.1657065793
9	0.1460373556
10	0.1298005301
11	0.1151564299
12	0.1024017086
13	0.09277830546
14	0.08571725515
15	0.07871737407
16	0.07189944185
17	0.06624099939
18	0.06145623945
19	0.05755485571
20	0.05415464645
21	0.05101302799
22	0.04853276276
23	0.04638312561
24	0.04452322192
25	0.04289557675
26	0.04151019134
27	0.04023350488
28	0.03914314133
29	0.03815867634
30	0.03729505021
31	0.03682846579
32	0.03614676338
33	0.03547329855
34	0.03487110081
35	0.03439600255
36	0.03410158443
37	0.03365515185
38	0.03328898618
39	0.03292032412
40	0.03261290238
41	0.03240974903
42	0.03207068065
43	0.0317402662
44	0.03150984885
45	0.03133226671
46	0.03120529129
47	0.03104156685
48	0.0308866921
49	0.03072677104
50	0.03059914753
51	0.03049830222
52	0.03044801192
53	0.0303248722
54	0.03020040397
55	0.03009515304
56	0.0299892179
57	0.02993027446
58	0.02982846073
59	0.02977618385
60	0.02970495193
61	0.02966705204
62	0.02956879298
63	0.02950203824
64	0.02946634645
65	0.02943202059
66	0.02939322115
67	0.02934411104
68	0.02929349699
69	0.02922873445
70	0.02917473876
71	0.02915417364
72	0.02912870753
73	0.02900448527
74	0.02897623309
75	0.02891457309
76	0.02883264172
77	0.02872938992
78	0.02869976417
79	0.02866510702
80	0.02857921116
81	0.0285233238
82	0.0284415886
83	0.0284062907
84	0.02838660382
85	0.02828591322
86	0.02825478541
87	0.02823170876
88	0.02817244101
89	0.02815567655
90	0.02811907613
91	0.02810384869
92	0.02808350397
93	0.02802262376
94	0.02796751228
95	0.02793851254
96	0.02789233002
97	0.02786192773
98	0.0278368592
99	0.02781306711
100	0.02776390178
101	0.02769087043
102	0.02767166557
103	0.0276196267
104	0.02758402187
105	0.0275401053
106	0.02744458016
107	0.02741389318
108	0.02739088901
109	0.02736048545
110	0.0273371263
111	0.02732026334
112	0.02725424879
113	0.0272286168
114	0.02720996267
115	0.02718449265
116	0.02712561836
117	0.02707288572
118	0.02705126797
119	0.02701325547
120	0.02698797916
121	0.02695496563
122	0.02693791117
123	0.02689890749
124	0.02686995653
125	0.02681110819
126	0.02675101207
127	0.02671680212
128	0.02667760221
129	0.02664974408
130	0.02662676996
131	0.02658407817
132	0.02653858649
133	0.02650718837
134	0.02647456128
135	0.02640241824
136	0.02637851832
137	0.02633915953
138	0.02627079473
139	0.02624452774
140	0.02621053105
141	0.02612129761
142	0.0260938523
143	0.02606709737
144	0.02603996896
145	0.02602700274
146	0.0260032726
147	0.0259751761
148	0.02594872549
149	0.02592528882
150	0.0258811012
151	0.02585450683
152	0.02582699301
153	0.02581542086
154	0.02579429924
155	0.0257761524
156	0.02573469028
157	0.02570959204
158	0.02569618535
159	0.02565413834
160	0.02564152695
161	0.02561399397
162	0.02557617766
163	0.02555898376
164	0.02553652018
165	0.02551239859
166	0.02548663384
167	0.02545779557
168	0.0254336376
169	0.02540234825
170	0.02538143234
171	0.0253573882
172	0.02533988577
173	0.02532631499
174	0.02530013807
175	0.02528512383
176	0.02525094471
177	0.02521853017
178	0.02520278419
179	0.02516827986
180	0.0251542539
181	0.02513452304
182	0.0250834218
183	0.02505552549
184	0.02503465776
185	0.0250148103
186	0.02497893668
187	0.02495586664
188	0.0249294539
189	0.02489228759
190	0.02486324873
191	0.02484142741
192	0.02482263243
